Timestamp,Medium 1,Density 1 (kg/m^3),Medium 2,Density 2 (kg/m^3),IFT (mN/m),Temperature (K),Pressure (bar),Salinity (g/L),Inverted Drop,d,D,S,InvH
2024/05/31_18:29:15,Medium 1,866.777,Medium 2,1.293,30.619865380311015,298,1,NaN,False,0.0019500576914542808,0.0024749999999999998,0.7879020975572852,0.5887417297401498
2024/05/31_18:30:50,Medium 1,1000.0,Medium 2,1.293,64.00502483996362,298,1,NaN,False,0.0021830160504460803,0.0029999999999999996,0.7276720168153602,0.7258793802509607
2024/05/31_18:30:50,Medium 1,1000.0,Medium 2,1.293,68.29776977490862,298,1,NaN,False,0.0022549450549450545,0.0030989010989010985,0.7276595744680852,0.7259120221592488
2024/05/31_18:30:51,Medium 1,1000.0,Medium 2,1.293,66.82110485657115,298,1,NaN,False,0.0022304347826086956,0.0030652173913043477,0.7276595744680852,0.7259120221592488
2024/05/31_18:30:51,Medium 1,1000.0,Medium 2,1.293,62.66746055468347,298,1,NaN,False,0.00216,0.002968421052631579,0.7276595744680852,0.7259120221592488
2024/05/31_18:30:52,Medium 1,1000.0,Medium 2,1.293,70.2855858702226,298,1,NaN,False,0.002204386415921544,0.003078260869565217,0.7161142311609537,0.7570914204293705
2024/05/31_18:30:52,Medium 1,1000.0,Medium 2,1.293,62.664642602317855,298,1,NaN,False,0.0021600369341255956,0.002968421052631579,0.7276720168153602,0.7258793802509607
2024/05/31_18:30:52,Medium 1,1000.0,Medium 2,1.293,63.22640012812883,298,1,NaN,False,0.0020907582501523926,0.0029195876288659792,0.7161142311609537,0.7570914204293705
2024/05/31_18:31:05,Medium 1,1000.0,Medium 2,1.293,65.2757661025708,298,1,NaN,False,0.0021830160504460803,0.003012765957446808,0.7245886608119053,0.7340304655900581
2024/05/31_18:31:05,Medium 1,1000.0,Medium 2,1.293,58.88675546500609,298,1,NaN,False,0.0020939133545095057,0.002877551020408163,0.7276720168153602,0.7258793802509607
2024/05/31_18:31:06,Medium 1,1000.0,Medium 2,1.293,65.2757661025708,298,1,NaN,False,0.0021830160504460803,0.003012765957446808,0.7245886608119053,0.7340304655900581
2024/05/31_18:31:06,Medium 1,1000.0,Medium 2,1.293,63.22640012812883,298,1,NaN,False,0.0020907582501523926,0.0029195876288659792,0.7161142311609537,0.7570914204293705
